,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
49,7,2011,3607403.0,757547.0,2042.0,79.0,27.2
50,7,2012,3715514.0,765099.0,3175.0,76.0,27.3
52,7,2014,3631039.0,717318.0,2148.0,79.0,27.9
53,7,2015,4044829.0,781769.0,975.9,86.9,27.4
54,7,2016,4387035.9,423029.0,2384.0,82.0,27.65
55,7,2017,4669777.5,415675.0,3190.0,84.0,27.5
56,7,2018,2108284.72,408176.45,2431.0,80.0,26.41
57,7,2019,2078901.59,413141.24,1401.6,86.53,27.03
58,7,2020,2076280.01,388591.22,1648.3,83.76,25.79
66,5,2000,1759059.0,396919.0,3040.6,86.01,25.86
